Name,Title,Location,Dept,Phone,Link
"Abzug, Michael D.",Judge,Clara Shortridge Foltz Criminal Justice Center,112,(213) 628-7412,../../Courthouse/info/CCB
"Acevedo, Victor M.",Commissioner,Compton,007,(310) 761-7987,../../Courthouse/info/COM
"Aceves, Efrain M.",Judge,Clara Shortridge Foltz Criminal Justice Center,046,(213) 628-7746,../../Courthouse/info/CCB
"Adams, Rashida A.",Judge,Edmund D. Edelman Children's Court,423,(323) 307-8023,../../Courthouse/info/CCJ
"Aenlle-Rocha, Fernando L.",Judge,East Los Angeles,006,(323) 780-2011,../../Courthouse/info/ELA
"Ahnn, Michelle M.",Judge,Compton,004,(310) 761-4304,../../Courthouse/info/COM
"Alarcon, Gregory W.",Judge,Stanley Mosk,036,(213) 633-0156,../../Courthouse/info/LA
"Amerian, Michael R.",Judge,Van Nuys - East,L,(818) 901-4625,../../Courthouse/info/NW
"Applegate, Robert P.",Judge,Burbank,001,(818) 260-8401,../../Courthouse/info/BUR
"Arakaki, Akemi ",Judge,Edmund D. Edelman Children's Court,414,(323) 307-8014,../../Courthouse/info/CCJ
"Archuleta, Debra R.",Judge,Michael D. Antonovich Antelope Valley,A05, ,../../Courthouse/info/ATP
"Armendariz, Maria Lucy",Judge,Metropolitan,074,(213) 745-1874,../../Courthouse/info/MET
"Arnold, Mark S.",Judge,Clara Shortridge Foltz Criminal Justice Center,115,(213) 628-7415,../../Courthouse/info/CCB
"Ashvanian, Armenui A.",Judge,Metropolitan,062,(213) 745-1862,../../Courthouse/info/MET
"Bachner, Monica ",Judge,Stanley Mosk,071,(213) 830-0771,../../Courthouse/info/LA
"Bacigalupo, Paul A.",Judge,Van Nuys - East,W,(818) 901-4609,../../Courthouse/info/NW
"Badhan-Smith, Neetu S.",Judge,Van Nuys - West,113,(818) 989-6813,../../Courthouse/info/LAV
"Barnes, Craig S.",Judge,Edmund D. Edelman Children's Court,405,(323) 307-8005,../../Courthouse/info/CCJ
"Barrera, Mario ",Judge,Michael D. Antonovich Antelope Valley,A04, ,../../Courthouse/info/ATP
"Beasley, Sheryl M.",Commissioner,Norwalk,A,(562) 345-3722,../../Courthouse/info/SE
"Beaudet, Teresa A.",Judge,Stanley Mosk,050,(213) 633-0650,../../Courthouse/info/LA
"Beckloff, Mitchell L.",Judge,Stanley Mosk,086,(213) 830-0786,../../Courthouse/info/LA
"Behar, Lori R.",Judge,Governor George Deukmejian - Long Beach,S07,(562) 256-1440,../../Courthouse/info/LB
"Bennett, Francis ",Judge,Clara Shortridge Foltz Criminal Justice Center,052,(213) 628-7752,../../Courthouse/info/CCB
"Bensinger, Kerry ",Judge,Clara Shortridge Foltz Criminal Justice Center,033,(213) 628-7733,../../Courthouse/info/CCB
"Berle, Elihu M.",Judge,Spring Street,006,(213) 310-7006,../../Courthouse/info/SS
"Bernal, Margaret Miller",Judge,Norwalk,F,(562) 345-3703,../../Courthouse/info/SE
"Bershon, Nicole C.",Judge,Torrance and Annex,008,(310) 787-3718,../../Courthouse/info/SBA
"Bianco, James ",Judge,Mental Health,95B,(323) 441-1894,../../Courthouse/info/MH
"Bianco, D. Brett ",Judge,Edmund D. Edelman Children's Court,416,(323) 307-8016,../../Courthouse/info/CCJ
"Bird, George F.",Judge,Torrance and Annex,P,(310) 787-3717,../../Courthouse/info/SBA
"Blackshaw, Julie Fox",Judge,Edmund D. Edelman Children's Court,412,(323) 307-8012,../../Courthouse/info/CCJ
"Blackwell, Nichelle L.",Commissioner,Edmund D. Edelman Children's Court,406,(323) 307-8006,../../Courthouse/info/CCJ
"Blades, Steven D.",Judge,Pomona,T,(909) 802-1108,../../Courthouse/info/EA
"Blancarte, James E.",Judge,Stanley Mosk,002B,(213) 633-0632,../../Courthouse/info/LA
"Blanchard, Kathleen ",Judge,Michael D. Antonovich Antelope Valley,A21, ,../../Courthouse/info/ATP
"Blanco, Alicia Y.",Commissioner,Van Nuys - West,121,(818) 989-6821,../../Courthouse/info/LAV
"Blumenfeld, Stan ",Judge,Pasadena,H,(626) 396-3314,../../Courthouse/info/PAS
"Borenstein, Mark A.",Judge,Stanley Mosk,035,(213) 633-0155,../../Courthouse/info/LA
"Borjon, Keith H.",Judge,Central Arraignment,080,(213) 617-5680,../../Courthouse/info/CAC
"Bork, Terry A.",Judge,Clara Shortridge Foltz Criminal Justice Center,128,(213) 628-7428,../../Courthouse/info/CCB
"Borzakian, Karin ",Commissioner,Alfred J. McCourtney Juvenile Justice Center,427,(661) 483-5927,../../Courthouse/info/LAN
